Link,Title,Location,Salary,Summary
http://kr.indeed.com/viewjob?jk=375b9893c3001c55,"Python, C·C++ 가능한 영상처리/비젼 개발자 정규직",에바 성남 수정구,"연봉 30,000,000원 - 35,000,000원","(주)에바 Python, C·C++ 외 신입/경력 정규직 채용 모집부문 및... 인원 [담당업무] Python, C++, MFC, C를 이용하여 - OpenCV 로 Visual SLAM 개발 - MFC, Python을 이용하여..."
http://kr.indeed.com/viewjob?jk=b87ff4aabad6e65e,Process & Data Scientist,Applied Materials Inc. 대한민국,,"systems Experience... least one programming language ( Python, R, Java, etc... writing SQL queries Qualifications..."
http://kr.indeed.com/viewjob?jk=c4762719d3d43938,2020년 제1회 예보국 공무직 근로자,기상청 대한민국,,"석사 학위 이상 소지자 - 기상기사, 전산 관련 자격증 소지자 - Python, Fortran 유경험자 국가태풍센터 (제주) 1명 태풍... 전산 관련 자격증 소지자 - Python, Fortran 유경험자 국가..."
http://kr.indeed.com/viewjob?jk=092d062a6faa7139,데이터 분석가,카카오 4.2 성남 판교역,,"만한 무언가(실력/열정) 데이터 분석 업무를 수행할 수 있는 하나 이상의 언어 스킬 필수 (예. SQL, Python, R 등) 데이터 기반 프로젝트 경험이 있으신 분 (예: 통계 분석 프로젝트) 어떤 일이라도 중요하게 여기..."
http://kr.indeed.com/viewjob?jk=c1037225077ca4da,데이터 분석가 (Business Intelligence Analyst),코스닥 상장 중견 게임기업 서울 강남구,"연봉 40,000,000원 - 70,000,000원","데이터 분석 결과를 쉽게 이해할 수 있도록 간결하고 명확한 의사전달 능력 [우대조건] * R, Python, Spark 등의 언어에 대한 이해도 * 모바일 앱SDK 연동 지원 업무 경험(Facebook, Admob..."
http://kr.indeed.com/viewjob?jk=6ed2963730d3c340,Systems Engineer,Hewlett Packard Enterprise 3.8 대전,,"Programming and scripting knowledge and experience (e.g. Perl, Python, C++, etc.) Ability to gather data, perform analysis..."
http://kr.indeed.com/viewjob?jk=c2cf32da4ed35d9b,Korea Structuring Junior,Credit Suisse 대한민국,,"several programming languages, preferably including Python with VBA Numeracy and proficiency in Excel packages, along..."
http://kr.indeed.com/viewjob?jk=e11bc11a4d72cc54,MPK / MPI-SD Joint Postdoctoral Position for Ultrafast Nonli...,POSTECH / Max Planck POSTECH/KOREA Res. Init. 대한민국,,"Experience in computer programming using C/C++, FORTRAN, Python, Mathematica or Matlab is highly desirable. The candidate may..."
http://kr.indeed.com/viewjob?jk=1eea05b0e37e3c85,Security CSIRT,LINE Plus corporation 성남 서현역,,"침투 테스트, 웹 애플리케이션 보안 테스트, 취약점 스캐닝, 위협 모델링 등) 분석 관련 업무 경험 - Python, C / C ++, Java 또는 Perl로 프로그래밍 경험 - 봇넷 및 루트킷 동작에 대한 조사를 포함..."
http://kr.indeed.com/viewjob?jk=255dc6b8fa2e41ef,CTO 최고기술책임자,서치펌 모멘텀HR 헤드헌팅 건 서울 강남구,"연봉 100,000,000원 - 300,000,000원","서비스 구축 및 운영 경험을 우선시합니다. 기술 백그라운드는 AWS 클라우드 인프라를 사용하고 있으며, Python이 메인입니다. 유능한 개발자 팀장들이 30대 중반 이하이므로, 40대 중반 이하면 될 것 같습니다. 학력..."
http://kr.indeed.com/viewjob?jk=a4cf93176abe0ca7,[NICE홀딩스] 2020년 경력직(IT) 수시,나이스 그룹 서울,,인터넷·IT·통신·모바일·게임>전산·IT기술지원>전산직|인터넷·IT·통신·모바일·게임>웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>ERP·시스템분석·설계>AWS
http://kr.indeed.com/viewjob?jk=466ed639df372448,[판교]기술지원,NHN Service] [판교 4.4 경기도,,"Linux, Windows Server 트러블 슈팅 숙련자 - 2년 이상의 개발 경험자(PHP, Python 등) 본 채용은 상시 채용으로 면접이 수시로 진행되며, 先지원자에게 기회가 먼저 부여되므로 빠른 지원 바랍니..."
http://kr.indeed.com/viewjob?jk=1be349138b189f77,[클로젯셰어] 데이터 분석가 (정규직),더클로젯컴퍼니 서울 강남구,"연봉 28,000,000원 - 30,000,000원","및 Dashboard 제작 -데이터 기반 운영/매출/비용 예측 분석 업무 자격요건 -프로그래밍 능력(R, Python, Matlab) 또는 통계분석 툴 사용 능력 -문서 제작 및 프리젠테이션 능력 뛰어난 분 -데이터 시각화..."
http://kr.indeed.com/viewjob?jk=e1719c3044cb5bd1,정보보안 담당자,Nexon 성남 분당구,,이벤트 분석 능력 또는 상관관계 이벤트 분석 능력 보유 > OS 및 네트워크 관련 기초 지식 보유 > python 등의 간단한 스크립트 작성 능력보유 > 타인과의 원활한 커뮤니케이션 자세 > 새로운 기술에 대한 적극적...
http://kr.indeed.com/viewjob?jk=bfc63c0dc39852e3,딥러닝 전문연구요원 특별,베이리스 성남 수정구,,"상처리 소프트 웨어 개발 자격요건 - 석사이상 학위 소지 및 20년 2월 석사 졸업 예정자 - C++/ python 프로그래밍 스킬 우대조건 - tensorflow, pytorch 등등 딥러닝 프레임워크 사용경험 - 영상..."
http://kr.indeed.com/viewjob?jk=eda2098164f2e92f,[메가존] 정보보호 및 개인정보보호 담당자 (신입/경력),메가존 서울 강남구,,"서버 OS(Windows, Linux 등)에 대한 이해 - 개발 언어(Shell Script, Java, Python, Windows Batch 등) 이해 근무조건 고용형태: 정규직 근무지: 서울 > 역삼 복리후생 연금/보험..."
http://kr.indeed.com/viewjob?jk=e11bc11a4d72cc54,MPK / MPI-SD Joint Postdoctoral Position for Ultrafast Nonli...,POSTECH / Max Planck POSTECH/KOREA Res. Init. 대한민국,,"Experience in computer programming using C/C++, FORTRAN, Python, Mathematica or Matlab is highly desirable. The candidate may..."
http://kr.indeed.com/viewjob?jk=640c9858f4f3b2f6,"데이터 분석 및 컨설팅 분야(Python, SAS, 빅데이터-신입)",한국정보기술단 서울 서초구,,"데이터 분석 및 컨설팅 분야 ( Python, SAS, 빅데이터-신입) 모집... 대졸 이상 (석사 이상 우대) - 데이터 분석 분야 경력 3년 이상 ( Python, R, SAS 기반의 DATA Preparation, 통계, 머신러..."
http://kr.indeed.com/viewjob?jk=e5aea836a6668a48,[SK텔레콤] 2020 신입사원 (무선 Infra (중부)),에스케이텔레콤 서울 중구,,"실무경험 - 연관 기술 : Network Protocol, IP Network, 가상화, Android/ Python Programming 등 ㅇ 전력 또는 전력제어 관련 프로젝트 수행 및 솔루션 개발 경험 우대 - IDC..."
http://kr.indeed.com/viewjob?jk=55a19c92c845685e,Developer / Designer recruit,마이뮤직테이스트 서울 논현동,,"language (i.e Python, Ruby, Java, .Net... High proficiency in Python... knowledge... least one Python web framework..."
http://kr.indeed.com/viewjob?jk=5d4cf1a713fccc2a,룰루랩 전문연구요원 (AI알고리즘),룰루랩 서울 강남구,,"개발도구(Visual studio, python 등), 영상처리 라이브러리... 머신러닝 알고리즘 - 기술 : 개발도구 (Visual studio, python 등), 영상처리 라이브러리 (Open CV외), 머신러닝 라이브러리..."
http://kr.indeed.com/viewjob?jk=c1037225077ca4da,데이터 분석가 (Business Intelligence Analyst),코스닥 상장 중견 게임기업 서울 강남구,"연봉 40,000,000원 - 70,000,000원","데이터 분석 결과를 쉽게 이해할 수 있도록 간결하고 명확한 의사전달 능력 [우대조건] * R, Python, Spark 등의 언어에 대한 이해도 * 모바일 앱SDK 연동 지원 업무 경험(Facebook, Admob..."
http://kr.indeed.com/viewjob?jk=166aa0c72e94a266,Business Data Analyst,Soomgo 서울 강남구,,"경제학, data analysis 등 관련 전공 또는 데이터 분석 관련 경력 있으신 분 우대사항 • Python 또는 R 을 사용하여 데이터 분석에 활용 가능 • O2O 및 플랫폼 비즈니스 경험 [숨고멤버 Join..."
http://kr.indeed.com/viewjob?jk=917cc06120add6e1,Data Scientist,Soomgo 서울 강남구,,년 이상 경력자 • Stakeholder와의 원활한 커뮤니케이션 능력 • SQL 능숙하게 활용 가능한 분 • Python을 활용한 수학적 통계 분석 및 모델링 가능한 분 • 다양한 머신러닝 알고리즘을 적재적소에 활용해본 경험...
http://kr.indeed.com/viewjob?jk=e5dc298b211bf390,웹프로그래머 (FrontEnd) 기업부설연구소 연구원 #python #j...,넥스텝코리아 서울 용산구,"연봉 30,000,000원 - 32,000,000원","데이터 수집, 분석 및 가공 에 관련된 프로그램 개발 ( Python) REST API개발( Python) # 우대사항 javascript 개발경험 필수 python 개발 유경험자 우대 Android, iOS 개발 유경험자 우대..."
http://kr.indeed.com/viewjob?jk=752a4b5d63eac97c,Back-end Engineer (Python),Soomgo 서울 강남구,,래픽 처리를 위한 AWS 인프라 구축 • 5년 이상의 웹/앱 서비스 백엔드 시스템 개발 경험이 있는 분 • Python 언어를 활용한 개발 경험이 있는 분 • 성능 최적화에 대해 지속적으로 고민하고 노력하시는 분 • AWS...
http://kr.indeed.com/viewjob?jk=22e554438bd095b3,[SK 주식회사(C&C)] 2020 상반기 인턴사원 (Data Analy...,SK C&C 4.0 성남 분당구 +1 지역,,"DL에 대한 전문 지식 및 업무 활용 역량 - 분석 Tool(R, Python, Hive, Tableau, MSTR, TensorFlow 등) 활용... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임..."
